tSNE1,tSNE2,Habitability
-23.282423,56.546005,0
-23.203526,57.76847,0
-21.192478,60.923267,0
-16.881392,55.615635,0
-0.74572885,65.99199,0
-19.723024,60.46368,0
-10.643527,43.719982,0
-15.511139,46.10826,0
-18.498861,52.458565,0
-17.84957,51.933277,0
-6.2526536,41.935116,0
-56.123013,22.765993,0
-4.3874974,42.83972,0
-8.212448,45.871784,0
-3.582506,42.186188,0
-56.789204,21.02435,0
-18.026257,60.57074,0
10.907537,67.56692,0
-24.949978,55.95535,0
-23.817566,58.24086,0
7.5275645,58.82626,0
7.396515,59.065533,0
7.399735,59.065903,0
-6.3460984,30.404844,0
11.820194,19.780474,0
-20.560553,45.812794,0
-21.36657,44.55044,0
-21.217329,45.896748,0
-21.672413,28.889442,0
-21.192978,45.719383,0
-10.971789,52.571354,0
-14.547203,17.696016,0
-2.0184271,-6.002062,0
-1.4058079,-18.928558,0
12.917521,64.83543,0
-0.21006203,-16.786646,0
-19.485744,58.557297,0
-6.221901,-18.939457,0
-20.48555,60.79913,0
-22.990255,62.0949,0
-9.356565,47.240005,0
-24.379587,54.844692,0
-33.606888,44.346127,0
-18.210262,47.08664,0
-4.3178167,-19.236917,0
-26.473463,54.672024,0
-27.488718,56.025208,0
-22.815895,50.571617,0
6.3043523,-15.33479,0
-18.823774,48.350395,0
-26.580896,59.176632,0
-15.715956,59.64837,0
-40.505867,13.640443,0
-10.4431305,-16.6059,0
-29.790298,39.74365,0
-29.739546,39.37934,0
-8.095313,25.44924,0
-35.316925,40.77996,0
-25.582571,53.2018,0
-31.1879,42.746704,0
-57.474518,23.746902,0
-6.949405,45.72552,0
-2.8276892,41.08436,0
-7.0415955,45.44775,0
27.099257,40.66646,0
-13.122397,-36.895313,0
32.258457,31.308388,0
25.079504,41.72495,0
-9.838455,18.072046,0
24.580723,42.818684,0
17.611937,24.806503,0
39.397266,20.765882,0
17.362608,41.3263,0
36.475716,36.035976,0
17.237574,36.257183,0
-7.6091614,48.977165,0
-7.671692,49.11101,0
39.534515,40.10618,0
17.895487,22.283918,0
39.43465,20.71274,0
-5.679989,12.411439,0
-5.682464,12.412313,0
28.922413,-41.8554,0
31.055782,33.390083,0
29.219046,-42.035976,0
31.577427,-0.76005113,0
2.35826,18.182808,0
45.314777,36.633648,0
30.95092,39.625107,0
31.26359,39.130035,0
17.553888,22.784082,0
-21.073517,29.45477,0
-20.839127,29.709646,0
-4.5473337,18.48115,0
0.2099296,-24.184595,0
-0.32088414,25.617758,0
-6.3349676,45.113087,0
-7.298678,-16.658833,0
-3.5742378,43.295944,0
-57.622158,21.197945,0
-2.5559478,46.69925,0
-14.403355,25.920723,0
-15.414815,24.910759,0
-17.61103,21.457788,0
-16.297047,25.378876,0
-16.010614,25.254173,0
-15.542626,24.950186,0
-13.454925,21.094612,0
-12.92644,23.513985,0
-14.131377,22.248531,0
-13.883698,22.519836,0
-13.369764,23.368938,0
-14.136147,23.167223,0
-43.76903,13.585109,0
24.485264,20.894136,0
-15.233964,24.813232,0
-2.8721926,33.741436,0
-18.356445,23.364588,0
-18.137571,23.110506,0
-37.763138,13.823549,0
-15.619072,-20.421726,0
-14.399246,21.96013,0
-17.037863,18.73896,0
-24.041325,10.209421,0
25.722912,22.836714,0
25.225943,29.435993,0
17.61713,64.19414,0
-4.516797,42.881496,0
-6.027374,31.321278,0
-60.034435,16.98499,0
-60.00761,17.021515,0
-48.699406,14.859058,0
-57.203358,20.52144,0
-61.10312,13.753006,0
-48.44944,18.652693,0
-38.895622,6.0181794,0
-49.488426,16.922695,0
-55.37833,22.556684,2
-55.51389,22.606375,0
-54.029503,25.51596,0
-54.629517,14.5721245,1
-54.570583,14.627082,0
-2.096857,-19.009937,0
-51.961884,15.890117,0
-51.884415,16.063772,0
-53.394985,20.047226,0
-10.4644985,48.9746,0
-10.460806,48.96777,0
-12.025561,50.392887,0
-54.382946,19.691149,0
-12.969922,-16.387129,0
-54.364525,19.94856,2
-55.10822,17.673586,0
-53.4161,17.228308,1
-54.53853,19.038937,0
-56.988968,18.421383,0
-33.787354,26.30994,0
-46.303642,20.94257,0
-46.76515,19.608223,0
-51.19897,21.47664,2
-16.073484,34.436848,0
-47.84299,19.164486,0
-40.25314,-19.52324,0
-53.00494,16.387396,0
-54.64975,17.051558,0
-57.16474,17.593025,0
-56.906677,13.369162,0
-49.460667,26.413326,0
-16.38943,34.497547,0
0.5721842,59.671925,0
-50.22417,15.120971,0
-57.11695,16.204418,0
-56.903496,16.71457,0
-56.98363,16.324696,0
-55.419006,17.106627,0
-10.896997,41.021713,0
-49.478863,16.924953,0
-54.03455,22.727097,1
-53.73605,22.65798,1
-53.930115,22.703688,1
-12.394664,-17.359282,0
-14.250354,34.919315,0
-50.938316,27.363226,0
-50.782425,27.37513,0
-50.215977,27.129858,0
-50.422867,27.539812,0
-40.18972,-19.572386,0
-53.123802,18.784775,0
-53.86583,24.858328,0
-53.79865,24.108809,2
-53.908188,25.722929,0
-26.561249,48.306442,0
-14.330892,31.52164,0
-14.269611,31.719831,0
-14.2853985,34.446087,0
-14.411502,31.24915,0
-7.459313,-12.282087,0
-43.436874,-22.234385,0
-43.23228,-21.897026,0
-43.19473,-21.858656,0
-10.122659,39.11318,0
-10.601395,43.74447,0
-5.083137,42.719402,0
-36.746914,18.668459,0
-56.798244,13.426658,0
-49.274445,14.959285,0
11.847493,19.7334,0
-25.609438,-0.36872435,0
-27.043736,46.140522,0
-29.644693,25.124762,0
36.12974,34.830627,0
9.272176,57.663284,0
6.681682,42.786644,0
-0.49593934,28.411287,0
28.815714,31.339333,0
-5.1522775,22.320036,0
-27.248165,47.207706,0
-4.0438404,20.857847,0
-3.927534,20.810308,0
39.500175,26.976175,0
-29.882444,25.515194,0
9.59937,26.076714,0
9.397474,25.879042,0
7.514236,45.71671,0
37.55933,32.652683,0
5.654205,20.452286,0
-3.9639215,22.421919,0
2.1825647,20.880497,0
6.932638,17.545822,0
12.165667,23.855919,0
2.7120087,22.556292,0
37.22781,32.76981,0
18.89504,13.227041,0
29.324503,34.342697,0
41.21947,32.4819,0
43.86308,30.689463,0
-8.106096,42.835102,0
16.5132,38.71979,0
4.840454,15.572063,0
1.4223571,20.54857,0
38.842934,36.483696,0
6.496513,37.942154,0
42.50206,30.684141,0
19.9671,32.023388,0
36.290154,36.186058,0
9.340081,22.923676,0
4.887261,20.906305,0
-14.917021,56.38797,0
31.503752,35.615334,0
33.89669,38.265717,0
6.045137,45.678955,0
25.584698,37.318268,0
41.002457,37.07893,0
6.139458,20.42466,0
2.4309936,18.527155,0
26.570072,32.147015,0
-31.606102,25.938053,0
7.220657,20.298647,0
37.482567,30.991142,0
42.797134,31.365349,0
42.922733,30.871613,0
34.988003,40.328518,0
37.330063,39.745373,0
20.544142,37.456352,0
20.050995,40.299313,0
5.9454055,45.730934,0
-1.0353638,40.466465,0
39.975357,28.982462,0
33.092743,34.406693,0
9.45673,24.237293,0
16.613651,30.37897,0
44.606205,36.40162,0
27.233538,30.675772,0
4.256006,18.50611,0
3.2082016,18.272017,0
14.359827,37.52946,0
25.80362,31.86488,0
-2.8449175,30.605274,0
20.308176,43.054077,0
14.596354,38.308487,0
-30.34941,24.96274,0
24.805687,32.610497,0
28.347351,29.297392,0
8.992226,22.12856,0
37.61558,39.753944,0
39.272522,37.600044,0
7.2165523,20.970797,0
7.4376426,21.169193,0
30.89344,35.69757,0
14.062065,30.185928,0
37.52265,39.74359,0
14.99231,30.001245,0
13.899925,30.380856,0
14.479067,29.911856,0
30.85873,29.496296,0
11.703975,20.443888,0
39.12338,36.866917,0
-9.842302,17.424822,0
22.093273,43.152794,0
39.45343,37.860294,0
34.537735,34.367615,0
-1.9062064,23.582832,0
-1.2258937,23.516304,0
35.52566,37.557926,0
-1.2651654,19.880087,0
-1.8534683,20.18487,0
16.526926,30.39893,0
35.549793,37.46529,0
20.517586,42.773422,0
7.4160004,22.470583,0
29.564764,39.07171,0
11.631352,27.29687,0
29.187937,39.64982,0
13.167129,34.833496,0
40.215324,35.722687,0
7.488732,22.89173,0
-12.727478,52.41115,0
-31.931704,25.826729,0
29.898535,36.87562,0
22.88357,24.966509,0
-0.2597689,15.533399,0
14.146771,29.85579,0
28.864473,40.118584,0
30.062155,36.68463,0
20.9812,44.369415,0
31.12505,28.945633,0
42.786736,38.025414,0
-0.24326691,15.572653,0
-3.0161293,20.64952,0
20.757538,43.508533,0
7.8797407,16.229319,0
30.219784,34.55416,0
-6.3282776,47.513523,0
-21.345894,56.447918,0
-4.90233,55.233753,0
6.5722284,31.791185,0
4.0302463,53.907875,0
-3.0587547,-11.110379,0
-3.7696993,-16.247528,0
1.0852453,63.312065,0
0.98644245,63.2281,0
-7.162731,-10.077529,0
5.138667,54.543156,0
-8.362816,25.585064,0
-6.05004,-18.545774,0
-12.277245,58.232147,0
-11.619851,54.67676,0
-1.4189103,-18.89641,0
-11.916844,47.19981,0
-15.34731,46.364864,0
-6.696666,-9.81996,0
-28.197851,30.374989,0
39.67793,26.415174,0
-5.745986,-16.907759,0
-6.9661403,-9.936465,0
12.59319,65.45153,0
-22.744719,56.793674,0
-2.5436893,58.808235,0
-10.998307,59.8952,0
24.67885,20.07684,0
25.529251,20.237946,0
-3.9456768,69.45028,0
9.399888,62.590252,0
-5.3536873,48.11056,0
10.96736,69.202286,0
-1.9542916,-9.85011,0
2.868026,29.956646,0
-23.72648,46.625698,0
-12.19232,58.36128,0
1.1793153,60.40306,0
4.7355456,60.587814,0
-2.5030637,-12.718065,0
3.9192395,29.540781,0
-1.2751372,-7.6903973,0
14.75965,25.70251,0
-23.372107,56.293945,0
-6.7018013,58.888363,0
-18.761755,52.89899,0
12.360933,67.15732,0
17.58004,69.71055,0
-35.314114,40.58499,0
-35.325077,40.585712,0
-22.900421,55.232388,0
-33.23503,50.8454,0
15.578789,65.99848,0
4.870872,69.27801,0
-1.3521353,-12.0779295,0
-16.795244,47.11104,0
-16.58332,47.06113,0
8.807826,65.94805,0
8.667687,65.98005,0
-13.421163,57.935738,0
-13.086339,56.050568,0
-4.0711775,59.88065,0
-21.622591,58.293064,0
-1.5815109,-9.075978,0
43.168026,25.54953,0
-20.615728,15.957789,0
5.9442773,69.08729,0
1.0747453,-10.778602,0
-21.60407,59.419415,0
-17.942606,54.100098,0
-2.6047394,-11.3522415,0
-3.5423205,-10.924665,0
-30.97244,40.306744,0
-4.3182163,64.09981,0
14.657227,25.678604,0
-4.4760814,62.956768,0
-6.3947296,-19.078827,0
-4.532991,59.851997,0
3.2468529,61.883244,0
2.6451962,60.107117,0
4.4367476,65.57081,0
-13.651984,43.56497,0
-13.652196,43.56434,0
-33.208282,44.386253,0
-5.0089917,45.943035,0
-17.5695,46.8505,0
-11.595206,61.27267,0
2.3135006,59.830524,0
-5.4450226,65.87941,0
-26.553888,57.55235,0
4.8911214,66.98636,0
-3.5547051,71.667015,0
-0.7258717,64.07872,0
-3.288096,60.85349,0
-3.2802336,60.843967,0
7.1656365,31.694628,0
1.7481611,63.48995,0
3.0658789,64.675766,0
5.116663,60.855274,0
-21.304995,13.844097,0
-6.0176764,-7.0268292,0
-5.183483,-16.250006,0
-9.060944,60.736965,0
-2.3139837,61.224934,0
-29.665508,50.460835,0
14.304857,69.44082,0
14.431665,69.78552,0
5.418811,64.51141,0
-24.340425,59.656197,0
46.555195,25.000164,0
-19.151653,61.126728,0
-2.6429586,-15.07817,0
3.1435623,60.119194,0
3.1497593,60.15508,0
4.053634,60.362225,0
0.4829933,64.097565,0
9.487884,73.23446,0
9.462576,73.30667,0
-8.081836,59.69915,0
-13.883045,58.314266,0
1.4260623,61.93685,0
36.099342,26.53718,0
-7.3220296,70.45661,0
-1.779232,-16.872547,0
-22.477427,59.374584,0
0.99774176,56.62867,0
5.870041,32.70059,0
5.760235,32.949642,0
-1.2637746,-7.1396456,0
-7.3298364,70.18238,0
-7.335548,-12.326355,0
-4.458339,64.755035,0
-9.935084,67.36521,0
-1.6575437,-17.160038,0
-6.533301,65.732216,0
3.269952,67.59296,0
9.02208,64.85115,0
9.11504,65.14461,0
10.222119,65.68988,0
-18.819878,56.69168,0
37.68616,27.401764,0
35.970703,27.832922,0
-13.53619,60.03109,0
-6.3212247,62.84324,0
-6.3236923,71.56516,0
-11.758149,61.289265,0
-16.089272,9.048381,0
-24.967468,10.638011,0
6.7586417,66.490204,0
-33.195488,51.35679,0
4.22924,65.21918,0
17.029356,65.980415,0
17.02345,65.99079,0
-14.680971,54.166664,0
6.84456,62.57295,0
5.9435573,62.488102,0
-24.332512,41.37094,0
-7.2747345,61.0095,0
3.5741653,70.07333,0
-24.47438,3.096998,0
17.263145,66.99471,0
-11.493661,61.481174,0
-23.784018,57.984127,0
-2.4603941,71.74082,0
-3.2653828,71.684975,0
15.527387,66.292564,0
15.335265,66.11836,0
-12.704952,68.28846,0
-12.845627,68.26678,0
0.70567024,41.721638,0
0.7229442,41.692307,0
-22.76555,11.166852,0
0.88574934,41.386497,0
0.39557365,-11.538543,0
11.502735,68.31494,0
-29.25583,40.38863,0
35.25981,8.916257,0
11.666894,69.15022,0
0.50657505,42.124935,0
-4.1247654,66.493904,0
-2.662869,-6.5206966,0
-14.7318945,41.118225,0
-7.008564,59.55811,0
-5.6766157,-11.61412,0
-4.6162353,65.08547,0
8.041098,71.189575,0
-8.356188,72.74993,0
-18.790844,56.904003,0
0.5698052,-11.457409,0
6.520735,69.17727,0
-28.24581,12.2152815,0
-26.758354,58.784065,0
16.746609,68.244934,0
16.658548,68.26841,0
5.5340405,62.42364,0
-16.195648,62.630684,0
-2.1134436,63.28282,0
-8.89217,64.46945,0
32.79762,14.718015,0
-22.594383,58.29746,0
11.683235,69.06061,0
-12.581805,65.38023,0
-23.052864,-12.820964,0
5.5080786,62.19536,0
-24.41139,2.6203635,0
-24.350096,2.1284134,0
-4.9429164,-1.4251132,0
-15.22798,60.234364,0
-2.9668562,-18.29999,0
-1.5435566,-10.522499,0
32.18655,13.349811,0
26.85306,36.94622,0
-15.377421,61.915276,0
-4.3961096,65.43612,0
-18.722229,56.457912,0
-13.295745,-16.03025,0
-13.072502,63.734615,0
-9.28502,64.85327,0
-14.298393,62.204193,0
-27.713524,11.086146,0
-32.56096,50.84565,0
-32.533276,50.846363,0
7.215787,68.10115,0
5.127477,65.97133,0
5.2865148,64.56644,0
46.066235,25.512575,0
3.3268087,68.54125,0
2.2615666,56.12122,0
2.0154455,56.841022,0
-12.511759,60.878395,0
-4.257962,65.66032,0
-7.873073,23.827753,0
-0.892021,61.063877,0
0.048590053,52.117916,0
6.958715,68.49835,0
7.857347,69.70314,0
-2.7351687,63.13466,0
-32.405746,50.681408,0
2.9345748,-19.575865,0
-16.729803,57.720802,0
-13.899479,64.97036,0
32.006073,15.167598,0
6.304719,66.9199,0
11.5622225,71.25002,0
9.487336,70.36021,0
-2.2889347,70.34773,0
-1.298586,42.168236,0
-27.202984,11.23734,0
-4.4317985,-6.2952294,0
-13.885169,65.02279,0
-13.896454,65.07402,0
-0.950578,62.847515,0
-17.489275,67.37415,0
-17.480625,67.37939,0
4.883731,37.283546,0
-3.2604456,45.646843,0
9.600252,66.1889,0
3.554545,65.58012,0
-1.7558246,62.494568,0
-2.5874984,-6.611843,0
-31.762903,50.611183,0
8.494514,70.90667,0
-4.123632,-16.668713,0
-14.627362,62.255054,0
-22.095455,5.7556024,0
-7.381696,-6.14722,0
-7.295605,-6.2237806,0
-5.6821504,-11.390154,0
0.5795179,65.33183,0
-6.0606923,68.30905,0
-6.213659,68.48422,0
-10.700942,29.872423,0
-10.713125,29.833616,0
2.942924,-19.592766,0
-2.8672757,-18.955372,0
-1.4912765,-17.077154,0
-20.152002,62.858376,0
-31.28638,42.98693,0
-22.158092,63.293957,0
26.952528,38.377277,0
2.7218773,52.731743,0
-0.88418925,65.78855,0
-16.559286,61.539864,0
-8.346899,67.06667,0
-14.731284,40.08358,0
37.13936,27.01256,0
-14.7859955,62.163364,0
9.38215,69.18637,0
-5.9858117,-12.985874,0
15.712906,66.947556,0
-23.914322,5.667011,0
-23.979263,-3.2403026,0
-23.964264,-3.2504528,0
-23.916265,-3.289663,0
-35.490536,5.0309534,0
-31.054342,43.924286,0
9.065016,68.93092,0
9.542544,70.0153,0
-17.228827,48.054535,0
-3.2547705,-18.48983,0
-6.2233152,-6.8308067,0
-5.190326,-10.511723,0
5.721746,33.439293,0
-1.1585772,61.440857,0
-39.011368,6.257099,0
4.868321,72.517456,0
-8.304773,65.493744,0
-32.101852,45.317192,0
6.666508,70.047935,0
-25.53946,-17.908554,0
-25.377838,-17.912409,0
-23.99345,-18.00889,0
-24.560001,-17.943947,0
-23.348497,-18.144094,0
-27.120321,45.679134,0
14.5543165,66.96095,0
-12.984753,10.690561,0
35.849693,27.637995,0
9.808435,66.69909,0
-19.300985,63.967953,0
1.6556818,69.45304,0
4.8824024,72.55606,0
7.1813407,64.53372,0
7.6203885,72.06443,0
-0.6776385,47.744244,0
12.254734,72.47048,0
11.766485,69.65667,0
-14.236635,63.08994,0
12.072383,71.27095,0
1.6974038,65.49788,0
8.956505,68.30381,0
47.437572,24.372103,0
-29.4105,50.21239,0
1.1881809,64.6962,0
7.184658,68.10862,0
7.880367,63.117516,0
-23.449621,51.80984,0
-14.233298,38.465588,0
-14.225533,38.46943,0
11.137344,68.15099,0
-15.752766,59.79618,0
-17.643534,60.897896,0
-18.987076,63.944897,0
5.3483214,64.55092,0
-26.210146,57.652874,0
2.2778864,55.01688,0
-26.84355,47.056618,0
2.395684,69.39628,0
-8.877249,24.64952,0
42.4194,36.332043,0
-5.7487054,-1.6154392,0
13.3809395,66.032196,0
-8.097792,72.56375,0
-12.512774,39.82582,0
-12.709252,39.595764,0
-12.522051,39.816788,0
-0.14833586,64.717766,0
6.348204,67.75725,0
-28.993832,9.288473,0
-55.378418,16.018974,0
-13.716203,60.358833,0
-7.3078704,61.07236,0
-8.560693,56.684696,0
-20.77366,58.338066,0
-7.1302166,71.550026,0
-7.1555233,71.604515,0
10.0949,69.468414,0
-7.1347756,69.47654,0
-12.278734,61.379093,0
13.404751,68.73411,0
2.5295458,53.624718,0
-4.180804,-10.698099,0
2.4099565,53.80182,0
-30.059229,-48.31789,0
-29.203896,-47.738194,0
-29.522314,-47.95693,0
-23.85534,58.609005,0
-7.2218046,69.0293,0
-8.947347,25.116093,0
-12.605689,60.843067,0
-13.246643,63.779255,0
47.33844,24.437828,0
17.753195,68.23405,0
-16.34581,64.68451,0
-16.337238,64.709274,0
11.611079,57.812904,0
12.130334,57.90438,0
-1.5446502,-14.489103,0
12.917341,56.84097,0
12.190051,57.883045,0
12.113264,57.977425,0
-1.1312106,-12.675444,0
-6.5080667,-13.662015,0
-6.4644203,-17.613592,0
-13.661907,47.526672,0
-13.676862,47.524128,0
-3.1506197,-8.781205,0
-9.641781,57.13211,0
11.258487,58.685562,0
7.842888,26.704391,0
-9.31363,52.373844,0
15.264142,61.80201,0
-1.947126,55.74484,0
-20.047106,33.06925,0
-21.76743,32.948612,0
-22.02447,33.879135,0
-22.263584,34.15491,0
-23.292505,34.26286,0
-22.626186,34.99657,2
-19.790382,52.987022,0
9.772398,59.038895,0
-22.665546,35.573586,0
-9.553546,47.49103,0
-0.15527476,64.97521,0
-7.741212,55.98758,0
5.4147325,66.47042,0
5.5610385,64.584854,0
-4.730947,69.226105,0
-0.8375531,-18.512926,0
0.07558834,51.98323,0
-14.90215,62.00143,0
-4.9739957,54.625572,0
17.23345,55.98315,0
9.03497,56.568752,0
-18.474638,32.288345,0
-18.519705,32.36732,0
7.968606,56.623734,0
-5.802841,54.421135,0
-5.469913,54.609093,0
-2.7119522,-8.550612,0
-7.1693015,25.940245,0
-7.5240073,26.752316,0
-3.8163202,57.606262,0
-18.25389,58.51543,0
-17.810768,58.437656,0
-14.928181,51.47926,0
-14.88763,51.49094,0
-23.177866,54.23394,0
15.20956,62.604736,0
-12.438838,63.81712,0
13.90531,46.198437,0
11.21894,61.915062,0
11.173753,61.880524,0
-2.1193762,55.501812,0
-26.719309,13.21663,0
-5.520936,-16.12212,0
-0.66015273,-17.209213,0
-12.334414,63.766415,0
-10.54896,67.475075,0
12.901967,61.511612,0
-5.7787695,-19.984419,0
-15.308386,57.797882,0
-2.403049,67.11055,0
-18.817759,63.77516,0
-20.960646,54.641273,0
-17.052994,51.248985,0
-7.451431,50.078136,0
-19.653017,52.95189,0
-27.55678,28.320023,0
-5.581977,55.1818,0
-5.1864934,-8.909063,0
4.9324474,54.499973,0
-7.4790735,54.092514,0
-8.964251,57.05346,0
-21.172173,53.13128,0
-4.317302,58.715923,0
13.314431,63.111526,0
13.312443,63.12107,0
-2.2446482,62.27672,0
-2.4886305,55.831875,0
14.121891,45.961163,0
-19.355194,37.49477,0
-19.4117,37.511864,0
-19.367088,37.516644,0
-7.106851,50.71112,0
-4.476216,58.927605,0
-30.002945,50.67895,0
-9.995585,54.45109,0
12.422384,58.384903,0
-1.8987763,-8.564445,0
-5.039207,58.612198,0
11.579835,60.18902,0
11.647355,60.16636,0
15.247698,64.09963,0
-2.5486646,-10.092457,0
-1.4618039,57.865273,0
-4.7208686,67.65643,0
